,                                       Entering Foster Care during the Year,,,,,,,,,,,,,,,,,,,9 year change,                                                       Exiting Care during the Year,,,,,,,,,,                                       In Foster Care on Last Day of Year (September 30),,,,,,,,,
State,FY 2003,FY 2004,change 03-04,FY 2005,change 04-05,FY 2006,change 05-06,FY 2007,change 06-07,FY 2008,change 07-08,FY 2009,change 08-09,FY 2010,change 09-10,FY 2011,change 10-11,FY 2012,change 11-12,,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012
Alabama,"3,246","3,598",,"3,844",0.068,"3,791",-0.014,"3,937",0.039,"3,580",-0.091,"3,080",-0.140,"3,063",-0.006,"3,257",0.063,"2,763",-0.152,-0.149,"2,818","3,046","3,279","3,474","3,638","3,526","3,498","2,770","3,143","3,346","6,079","5,934","6,913","7,157","7,262","6,941","6,179","5,350","5,253","4,561"
Alaska,943,665,-0.295,830,0.248,897,0.081,920,0.026,895,-0.027,888,-0.008,897,0.010,924,0.030,929,0.005,-0.015,781,715,747,697,784,903,963,905,785,821,"2,040","1,825","1,660","1,919","2,126","1,954","1,851","1,828","1,871","1,889"
Arizona,"6,208","7,173",0.155,"7,546",0.052,"7,460",-0.011,"7,398",-0.008,"8,099",0.095,"7,526",-0.071,"7,891",0.048,"8,488",0.076,"10,663",0.256,0.718,"4,796","5,108","6,358","7,182","7,414","7,413","7,506","7,180","7,259","7,806","7,469","9,194","9,685","9,786","9,099","9,590","9,423","9,930","10,883","13,461"
Arkansas,"3,561","3,486",-0.021,"3,615",0.037,"3,924",0.085,"4,086",0.041,"3,772",-0.077,"4,161",0.103,"3,977",-0.044,"3,856",-0.030,"3,846",-0.003,0.080,"3,411","3,265","3,372","3,621","3,788","3,674","3,917","3,718","3,774","3,802","3,014","3,124","3,238","3,434","3,616","3,522","3,657","3,756","3,732","3,711"
California,"39,919","39,366",-0.014,"41,075",0.043,"41,090",0.000,"41,316",0.006,"36,590",-0.114,"35,243",-0.037,"33,536",-0.048,"32,171",-0.041,"31,695",-0.015,-0.206,"41,557","41,031","40,723","41,068","42,446","41,468","39,215","36,054","31,810","30,281","87,278","82,641","80,247","76,405","73,998","67,703","60,583","56,202","54,754","54,288"
Colorado,"7,613","7,782",0.022,"7,651",-0.017,"7,059",-0.077,"6,431",-0.089,"6,694",0.041,"6,167",-0.079,"5,753",-0.067,"5,300",-0.079,"5,042",-0.049,-0.338,"7,284","7,577","7,182","6,896","6,585","6,326","6,192","5,886","5,502","5,181","8,754","8,196","8,213","8,139","7,777","7,964","7,392","6,980","6,488","6,003"
Connecticut,"3,435","3,156",-0.081,"3,063",-0.029,"3,248",0.060,"2,684",-0.174,"2,672",-0.004,"2,467",-0.077,"2,482",0.006,"2,320",-0.065,"1,693",-0.270,-0.507,"1,847","3,308","2,423","3,047","3,168","2,951","2,974","2,671","2,099","1,505","7,185","6,459","7,037","6,358","5,763","5,372","4,759","4,456","4,926","4,563"
Delaware,861,880,0.022,925,0.051,"1,021",0.104,"1,110",0.087,627,-0.435,445,-0.290,411,-0.076,537,0.307,484,-0.099,-0.438,810,749,681,791,939,785,555,455,421,487,814,849,962,"1,074","1,157",938,814,739,845,799
District of Columbia,719,777,0.081,919,0.183,668,-0.273,586,-0.123,712,0.215,624,-0.124,745,0.194,563,-0.244,486,-0.137,-0.324,757,"1,052","1,049",952,746,670,703,768,803,725,"3,092","2,641","2,519","2,378","2,197","2,217","2,111","2,066","1,797","1,551"
Florida,"20,549","19,932",-0.030,"22,147",0.111,"21,999",-0.007,"19,358",-0.120,"15,838",-0.182,"14,331",-0.095,"14,384",0.004,"15,846",0.102,"15,674",-0.011,-0.237,"21,585","21,097","20,539","21,238","20,972","18,862","16,409","14,579","14,253","15,332","30,677","28,864","29,312","29,229","26,788","22,187","19,162","18,743","19,760","19,536"
Georgia,"10,568","11,699",0.107,"10,887",-0.069,"9,764",-0.103,"9,026",-0.076,"6,722",-0.255,"5,902",-0.122,"5,469",-0.073,"6,419",0.174,"6,243",-0.027,-0.409,"9,946","11,094","11,064","10,513","9,614","8,861","7,765","6,438","5,612","5,954","13,578","14,216","13,965","13,175","12,197","9,984","8,068","6,895","7,591","7,671"
